Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
ALZR11,Misto,"10,62","1.372.128,17","0,99","0,08","0,79 %","2,54 %","5,02 %","10,05 %","0,85 %","0,84 %","0,84 %","7,57 %","5,05 %","5,88 %","25,86 %","1.305.279.166,71","10,68","0,99","0,77 %","-90,01 %","-89,93 %","-89,13 %",19,"11,51",167.464,"0,70 % a.a","0,25 % a.a",N/A
APTO11,Imóveis Residenciais,"8,40","13.179,91","0,87","0,09","1,06 %","3,20 %","6,56 %","13,25 %","1,07 %","1,09 %","1,10 %","11,05 %","0,35 %","1,42 %","15,98 %","45.162.256,37","9,79","0,86","0,92 %","-1,71 %","-0,80 %","13,26 %",3,"20,56",8.232,N/A,"1,50 % a.a","20,00 % a.a"
APXM11,Shoppings,"81,03","34.326,36","0,66","0,30","0,37 %","0,99 %","2,20 %","4,62 %","0,99 %","0,37 %","0,39 %","3,44 %","-2,68 %","-2,32 %","-14,27 %","349.190.139,54",N/A,N/A,N/A,N/A,N/A,N/A,1,"57,84",596,N/A,N/A,N/A
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,"1,00 % a.a","20,00 % a.a"
AROA11,Imóveis Industriais e Logísticos,"1,01","5.642,43","1,05","0,01","0,75 %","2,11 %","4,07 %","7,96 %","0,70 %","0,68 %","0,66 %","6,71 %","-1,96 %","-1,23 %","11,37 %","159.917.971,91",N/A,N/A,N/A,N/A,N/A,N/A,6,"32,52",4.791,N/A,N/A,N/A
ARRI11,Papéis,"6,51","226.832,91","0,77","0,09","1,36 %","4,01 %","7,83 %","15,15 %","1,34 %","1,31 %","1,26 %","12,80 %","-1,78 %","-0,44 %","-3,74 %","175.613.929,97","8,47","0,77","1,06 %","-4,40 %","-3,39 %","-89,38 %",1,"16,59",23.644,N/A,N/A,N/A
ARXD11,Papéis,"7,41","71.229,04","0,82","0,09","1,20 %","3,74 %","7,64 %","15,93 %","1,25 %","1,27 %","1,33 %","13,31 %","0,81 %","2,02 %","13,98 %","82.249.920,75",N/A,N/A,N/A,N/A,N/A,N/A,14,"30,89",1.782,N/A,"1,02 % a.a",N/A
ASMT11,Lajes Corporativas,"4,10","12.484,00","0,41","0,08","1,12 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,19 %","-4,46 %","-3,39 %","-3,83 %","169.085.584,25",N/A,N/A,N/A,N/A,N/A,N/A,3,"52,59",1,N/A,"1,20 % a.a","20,00 % a.a"
ASRF11,Indefinido,"10.888,00","76.216,00","1,12","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"38.822.624,03",N/A,N/A,N/A,N/A,N/A,N/A,2,"16,12",68,N/A,N/A,N/A
ATSA11,Shoppings,"50,99","4.101,78","0,66","0,15","0,29 %","0,59 %","2,14 %","5,37 %","0,59 %","0,36 %","0,45 %","4,41 %","0,00 %","0,00 %",N/A,"134.327.235,30","76,71","0,66","0,20 %","-5,81 %","-5,62 %","-14,29 %",1,"31,54",302,N/A,"0,50 % a.a",N/A
AURB11,Imóveis Comerciais - Outros,"76,21","2.881.234,75","0,98","0,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"84.785.597,51",N/A,N/A,N/A,N/A,N/A,N/A,2,"40,01",20,N/A,"1,05 % a.a",N/A
AZIN11,N/A,"102,62","663.315,78",N/A,"1,90","1,88 %","5,34 %","10,24 %","13,39 %","1,78 %","1,71 %","1,12 %","13,39 %","1,25 %","3,15 %","44,62 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,79",0,N/A,"1,25 % a.a","20,00 % a.a"
AZPE11,Papéis,N/A,N/A,N/A,"0,14","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.015.499,50",N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,N/A
AZPL11,Serviços Financeiros Diversos,"7,65","438.366,65","0,91","0,08","0,98 %","2,97 %","6,77 %","15,19 %","0,99 %","1,13 %","1,27 %","12,65 %","0,26 %","1,24 %","38,05 %","352.632.003,89",N/A,N/A,N/A,N/A,N/A,N/A,1,"26,45",6.366,N/A,"1,10 % a.a",N/A
BARI11,Papéis,"79,20","896.491,00","1,01","4,38","0,00 %","0,00 %","4,06 %","12,32 %","0,00 %","0,68 %","1,03 %","10,01 %","0,00 %","0,00 %",N/A,"363.696.267,15","78,48","1,01","1,21 %","-17,70 %","-16,71 %","-12,94 %",2,"20,13",31.765,"1,11 % a.a","0,20 % a.a","20,00 % a.a"
BBFI11B,Lajes Corporativas,"1.257,10","182.918,19","0,41","634,23","47,51 %","0,00 %","47,51 %","69,77 %","0,00 %","7,92 %","5,81 %","69,77 %","4,22 %","53,73 %","119,39 %","111.645.834,19","864,77","1,45","73,34 %","-60,09 %","-30,81 %","-43,61 %",1,"43,40",6.989,N/A,"3,50 % a.a",N/A
