TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE
JFEN3;1,80;;-0,09;-0,24;0,03;-31,24;-104,02;-124,09;-0,11;-1,43;-1,32;;0,12;0,08;-0,35;1,66;-257,98;-31,33;-270,71;-0,12;1,25;0,25;-0,91;;24.721,14;-7,45;-19,23;0,00;23.044.941,00;JFEN3;João Fortes;1,79;+5,92%;JFEN3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/joao-fortes-on--big.svg
JHSF3;6,02;6,19;3,59;0,68;0,27;58,86;92,95;62,89;2,43;4,42;1,99;0,56;2,26;1,23;-0,41;2,48;19,08;7,39;11,41;0,39;0,59;0,12;20,35;28,82;14.874.575,43;8,79;1,68;0,04;4.101.562.991,12;JHSF3;JHSF;6,02;+8,27%;JHSF3;Financeiro;https://s3-symbol-logo.tradingview.com/jhsf-part-on-nm--big.svg
JOPA3;20,12;3,15;30,11;0,35;0,09;20,64;3,69;0,34;2,79;9,66;6,86;0,87;0,10;0,29;-0,34;1,83;1,17;0,31;3,42;0,27;0,66;0,92;12,67;-7,92;2.682,00;57,01;0,67;-0,39;213.426.811,16;JOPA3;Josapar;20,11;-0,05%;JOPA3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/josapar-on--big.svg
JSLG3;6,37;6,60;15,23;1,00;0,15;16,31;11,79;1,26;1,62;7,51;5,89;3,64;0,19;0,81;-0,24;1,99;6,59;0,98;10,77;0,15;0,85;0,78;23,90;-11,91;2.656.854,52;6,35;0,42;-0,28;1.824.565.966,86;JSLG3;JSL;6,36;-0,62%;JSLG3;Transportes;https://s3-symbol-logo.tradingview.com/jsl--big.svg
KEPL3;7,84;9,07;9,40;1,93;0,92;26,76;14,50;9,57;6,20;6,14;-0,06;-0,02;0,90;2,83;-2,72;1,98;20,58;9,83;14,69;0,48;0,52;1,03;22,47;31,90;8.714.490,17;4,06;0,83;-0,22;1.409.005.819,20;KEPL3;Kepler Weber;7,87;+1,29%;KEPL3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/kepler-weberon-eb--big.svg
KLBN11;18,46;5,88;10,92;2,24;0,38;38,55;23,12;10,26;4,84;10,76;5,92;2,74;1,12;2,86;-0,50;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;70.937.635,13;8,25;1,69;0,36;22.815.386.058,45;KLBN11;Klabin;18,45;+0,71%;KLBN11;;https://s3-symbol-logo.tradingview.com/klabin--big.svg
KLBN3;3,74;5,81;11,06;2,27;0,38;38,55;23,12;10,26;4,91;10,76;5,92;2,74;1,13;2,90;-0,51;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;1.380.444,65;1,65;0,34;0,37;22.815.386.058,45;KLBN3;Klabin;3,73;+0,54%;KLBN3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/klabin--big.svg
KLBN4;3,68;5,90;10,88;2,23;0,38;38,55;23,12;10,26;4,83;10,76;5,92;2,74;1,12;2,85;-0,50;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;6.872.212,52;1,65;0,34;0,36;22.815.386.058,45;KLBN4;Klabin;3,68;+0,55%;KLBN4;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/klabin--big.svg
LAND3;9,29;0,78;54,79;1,22;0,97;94,68;31,58;18,95;32,88;33,87;0,99;0,04;10,38;-37,24;-1,00;0,57;2,23;1,77;3,43;0,79;0,21;0,09;13,88;-0,99;189.915,87;7,61;0,17;-1,36;893.948.476,98;LAND3;Terra Santa;9,42;+2,84%;LAND3;Financeiro;https://s3-symbol-logo.tradingview.com/terrasantapaon-nm--big.svg
LAVV3;15,45;6,94;7,33;1,93;0,79;34,87;27,13;23,08;6,23;6,35;0,12;0,04;1,69;1,44;-3,04;3,84;26,35;10,76;16,36;0,41;0,53;0,47;51,55;56,25;7.051.334,09;8,00;2,11;0,14;3.019.460.738,40;LAVV3;Lavvi Incorporadora;15,47;+1,05%;LAVV3;Financeiro;https://s3-symbol-logo.tradingview.com/lavvi-on-nm--big.svg
LEVE3;28,05;9,40;7,07;5,14;1,02;27,03;16,49;10,54;4,52;5,92;1,40;1,60;0,74;6,62;-2,65;1,33;72,76;14,41;24,34;0,20;0,80;1,37;12,53;15,73;6.576.765,78;5,45;3,97;-0,39;3.801.868.950,00;LEVE3;Mahle Metal Leve;28,05;+0,54%;LEVE3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metal-leve--big.svg
LIGT3;5,90;;0,91;0,39;0,08;17,07;9,25;16,10;1,58;6,22;4,64;1,16;0,15;2,60;-0,11;1,15;43,31;9,25;6,51;0,21;0,79;0,57;2,13;12,76;7.656.265,17;15,00;6,50;0,00;2.198.076.411,60;LIGT3;Light;5,90;-1,34%;LIGT3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/light--big.svg
LJQQ3;2,83;3,67;-7,86;1,20;0,16;33,75;2,23;-2,68;9,47;7,40;-2,07;-0,26;0,21;0,55;-0,57;1,65;-15,22;-1,99;5,08;0,13;0,87;0,74;14,68;;4.817.855,70;2,37;-0,36;0,03;585.575.854,29;LJQQ3;Lojas Quero-Quero;2,83;+3,66%;LJQQ3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/quero-quero-on-nm--big.svg
