TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PCAR3;4,11;;-1,12;0,79;0,11;27,44;-1,00;-9,40;-10,50;-24,17;-13,68;1,03;0,11;-6,79;-0,15;0,95;-70,51;-9,80;-8,30;0,14;0,86;1,04;-19,80;;66.019.627,33;5,21;-3,67;0,04;2.015.511.267,96
PCAR4;72,11;;-19,65;13,85;1,93;27,44;-1,00;-9,40;-184,18;-24,17;-13,68;1,03;1,85;-119,06;-2,69;0,95;-70,51;-9,80;-8,30;0,14;0,86;1,04;-19,80;;;5,21;-3,67;0,64;2.015.511.267,96
PDGR3;0,14;;-0,01;0,00;0,01;20,48;-68,41;-341,79;-0,04;-4,20;-4,15;;0,03;-0,01;-0,02;0,33;-13,92;-92,82;8,98;-6,67;7,81;0,27;-16,76;;228.292,24;-115,52;-16,09;0,00;4.156.744,20
PDTC3;1,04;;8,22;0,70;0,13;76,76;75,08;53,67;5,88;22,89;17,01;2,03;4,41;0,33;-0,32;2,80;8,52;1,56;3,21;0,18;0,82;0,03;;13,07;51.106,67;1,48;0,13;-0,02;82.648.411,04
PEAB3;35,70;2,28;17,25;0,74;0,52;56,77;33,27;36,01;18,67;17,61;-0,88;-0,03;6,21;3,29;-0,65;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;5.930,00;48,11;2,07;0,21;668.427.573,10
PEAB4;35,00;2,52;16,91;0,73;0,51;56,77;33,27;36,01;18,31;17,61;-0,88;-0,03;6,09;3,22;-0,63;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;25.894,00;48,11;2,07;0,21;668.427.573,10
PETR3;33,67;15,52;5,61;1,09;0,37;49,10;27,00;15,69;3,26;5,55;2,40;0,80;0,88;-10,02;-0,42;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;267.976.402,48;30,97;6,00;-3,18;419.421.473.380,94
PETR4;31,00;16,90;5,16;1,00;0,34;49,10;27,00;15,69;3,00;5,55;2,40;0,80;0,81;-9,22;-0,38;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;707.293.579,43;30,97;6,00;-2,92;419.421.473.380,94
PETZ3;3,94;7,32;-112,74;1,08;0,48;46,97;2,85;-0,47;18,52;19,07;0,55;0,03;0,53;3,15;-0,75;1,72;-0,96;-0,42;4,58;0,44;0,56;0,91;27,50;;21.462.034,90;3,64;-0,03;-0,50;1.823.195.304,50
PFRM3;7,35;7,94;7,71;0,68;0,17;14,84;2,81;1,07;2,93;5,65;2,72;0,63;0,08;1,06;-0,56;1,30;8,83;2,20;10,94;0,25;0,70;2,05;16,16;58,02;1.513.718,43;10,79;0,95;0,25;910.023.881,55
