"Ticker","Nome","Negócios","Última (R$)","Variação"
"MTSA4","Metisa","6.800","43,30","+3,10%"
"HAGA4","Haga","6.700","1,16","+0,00%"
"DOTZ3","Dotz","6.500","8,84","+0,00%"
"UNIP3","Unipar","6.200","62,77","+1,80%"
"NUTR3","Nutriplant","5.900","2,85","-5,94%"
"ALUP3","Alupar","5.700","10,97","-0,09%"
"REAG3","REAG3","5.600","2,76","-3,16%"
"CLSC4","Celesc","5.500","103,61","+1,54%"
"CRPG5","Tronox Pigmentos","5.400","13,61","-1,45%"
"RSID3","Rossi Residencial","5.200","1,92","+1,05%"
"OIBR4","Oi","4.900","7,38","-0,40%"
"BAZA3","Banco da Amazônia","4.600","78,33","+0,04%"
"PINE3","Banco Pine","4.200","8,20","+2,12%"
"EMAE4","EMAE","4.100","27,35","-0,69%"
"WHRL3","Whirlpool","4.000","4,50","+0,00%"
"CEDO4","Cedro Têxtil","3.800","11,96","+2,40%"
"TELB3","Telebras","3.700","12,34","+0,00%"
"ALPA3","Alpargatas","3.500","10,20","+2,10%"
"REDE3","Rede Energia","3.300","6,34","-0,63%"
"MNPR3","Minupar","3.200","41,10","-0,36%"
"BGIP4","Banese","3.100","27,95","+1,08%"
"PTNT4","Pettenati","3.100","4,84","+0,21%"
"NGRD3","Neogrid","3.000","26,15","+0,19%"
"OSXB3","OSX Brasil","3.000","2,33","-1,69%"
"OFSA3","Ourofino Saúde Animal","2.600","23,36","+0,00%"
"MNDL3","Mundial","2.500","18,02","-0,11%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","2.000","2,11","+0,48%"
"BSLI4","Banco de Brasília","1.900","9,70","+0,00%"
"ISAE3","ISA Energia","1.700","30,85","-0,19%"
"GSHP3","General Shopping & Outlets","1.700","2,90","-1,36%"
"RNEW11","Renova Energia","1.600","3,39","+2,42%"
"BIOM11","Biomm","1.600","3,00","-1,64%"
"CTAX3","CTAX3","1.500","1,18","+0,00%"
"EUCA3","Eucatex","1.400","21,45","+8,01%"
"BEES4","Banestes","1.400","8,25","+0,00%"
"WLMM4","WLM","1.300","20,85","-0,67%"
"PTNT3","Pettenati","1.200","8,32","+0,00%"
"CTKA4","Karsten","1.100","36,78","+1,63%"
"CPLE5","Copel","1.100","12,80","-5,19%"
"LUPA11","LUPA11","1.100","0,22","+0,00%"
"AMAR11","Lojas Marisa","1.100","0,18","+0,00%"
"EKTR4","Elektro","1.000","47,01","+0,00%"
"RVEE3","REVEE S.A.","1.000","19,50","-1,96%"
"RVEE3","REVEE","1.000","19,50","-1,96%"
"VSTE3","LE LIS BLANC","1.000","5,50","+0,00%"
"PPLA11","PPLA","918","0,93","+9,41%"
"RSUL4","Metalúrgica Riosulense","700","66,20","+0,32%"
"EQPA7","Equatorial Energia Pará","600","6,85","+5,06%"
"DOHL4","Döhler","600","3,80","+0,53%"
"MOAR3","Monteiro Aranha","500","111,21","+0,19%"
"CGAS5","Comgás","400","128,00","+0,78%"
"BNBR3","Banco do Nordeste","400","98,50","-0,51%"
"PATI3","Panatlântica","400","47,00","+1,23%"
"GEPA4","Rio Paranapanema Energia","400","35,90","-0,22%"
"HBTS5","Habitasul","400","30,05","-6,06%"
"FESA3","Ferbasa","400","11,65","-3,56%"
"TKNO4","Tekno","300","179,00","+4,68%"
"CLSC3","Celesc","300","99,00","+6,34%"
"PEAB4","Participações Aliança da Bahia","300","35,00","+0,00%"
"BALM4","Baumer","300","17,00","+0,00%"
"EALT3","Electro Aço Altona","300","12,95","+1,57%"
"BAUH4","Excelsior","200","86,96","-0,01%"
"UNIP5","Unipar","200","72,10","+3,44%"
"ENMT4","Energisa MT","100","53,80","+1,51%"
"CEEB3","COELBA","100","36,90","+0,00%"
"EQMA3B","Equatorial Maranhão","100","32,99","+3,09%"
"CGRA3","Grazziotin","100","28,38","+1,76%"
"WLMM3","WLM","100","22,75","-0,22%"
"JOPA3","Josapar","100","20,11","-0,05%"
"PLAS3","Plascar","100","4,99","+0,00%"
"CTSA4","Santanense","100","2,43","+1,25%"
"HAGA3","Haga","100","1,85","+1,65%"
"BMKS3","Monark","18","424,95","+0,69%"
"MWET4","Wetzel","2.200","10,20","-0,97%"
"BDLL3","Bardella","800","7,50","-0,66%"
"RPAD5","Alfa Holdings","700","8,00","+12,68%"
"NEXP3","Brasil Brokers","700","3,45","+0,00%"
"ENMT3","Energisa MT","500","51,00","-1,70%"
"ESTR3","Estrela","500","5,00","-0,20%"
"MAPT4","Cemepe","500","4,05","+8,00%"
"FIEI3","Fica","300","20,00","+0,00%"
