TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BAUH3;0,00;;0,00;0,00;0,00;25,05;8,24;10,69;0,00;;-2,70;-0,43;0,00;0,00;0,00;1,92;20,76;14,49;13,86;0,70;0,30;1,36;6,53;0,98;;26,02;5,40;0,00;
BAUH4;86,97;1,42;16,10;3,34;2,33;25,05;8,24;10,69;20,88;;-2,70;-0,43;1,72;8,92;-5,15;1,92;20,76;14,49;13,86;0,70;0,30;1,36;6,53;0,98;157.689,71;26,02;5,40;0,55;
BAZA3;78,30;10,23;3,56;0,66;0,08;10,24;25,41;23,66;3,31;3,31;;;0,84;80,12;-0,08;;18,42;2,17;;0,12;0,88;0,09;26,63;34,96;406.120,30;119,36;21,99;-1,39;4.389.366.064,50
BBAS3;21,90;7,88;6,69;0,69;0,05;34,96;2,96;6,48;14,66;14,66;;;0,43;2,11;-0,05;11,97;10,31;0,77;;0,07;0,92;0,12;17,31;2,74;706.561.881,43;31,76;3,27;-0,14;125.505.265.476,00
BBDC3;15,00;7,67;7,58;0,91;0,07;31,68;8,22;8,95;8,25;8,94;;;0,68;0,78;-0,08;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;87.489.863,74;16,43;1,98;0,13;172.206.296.362,44
BBDC4;17,52;7,05;8,85;1,07;0,09;31,68;8,22;8,95;9,63;8,94;;;0,79;0,91;-0,10;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;429.805.640,00;16,43;1,98;0,15;172.206.296.362,44
BBML3;3.936,42;;-953,24;-726,01;151,19;-1,36;-9,39;-11,16;-1.133,67;-1.136,71;-3,04;;106,40;-192,44;-213,85;0,27;-76,16;-15,86;-166,64;-0,21;1,21;1,42;25,94;;;-5,42;-4,13;-0,35;160.451.699.191,56
BBSE3;32,52;13,11;7,29;6,20;3,04;;;;6,57;6,57;;;;22,58;-5,71;1,40;84,97;41,71;;0,49;0,51;0,00;;6,01;172.393.260,00;5,25;4,46;1,16;65.040.000.000,00
BDLL3;7,50;;-0,61;-0,05;0,02;18,85;-40,93;-35,53;-0,53;-8,12;-7,55;;0,22;-0,04;-0,04;0,44;-7,97;-3,78;47,26;-0,47;1,47;0,11;-2,75;;4.035,00;-153,42;-12,22;0,00;12.893.527,20
BDLL4;8,40;;-0,69;-0,05;0,03;18,85;-40,93;-35,53;-0,60;-8,12;-7,55;;0,24;-0,05;-0,04;0,44;-7,97;-3,78;47,26;-0,47;1,47;0,11;-2,75;;0,00;-153,42;-12,22;0,01;12.893.527,20
