TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
SANB3;13,87;5,98;8,83;0,85;0,08;39,14;10,65;7,79;6,46;6,80;;;0,69;-0,20;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;598.946,73;16,31;1,57;0,75;109.478.553.344,60;SANB3;Banco Santander;13,95;+2,42%;SANB3;Financeiro;https://s3-symbol-logo.tradingview.com/santander--big.svg;True
SANB4;15,25;5,97;9,71;0,94;0,09;39,14;10,65;7,79;7,10;6,80;;;0,76;-0,22;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;1.061.605,77;16,31;1,57;0,83;109.478.553.344,60;SANB4;Banco Santander;15,34;+2,54%;SANB4;Financeiro;https://s3-symbol-logo.tradingview.com/santander--big.svg;True
SAPR11;37,21;5,93;4,97;0,95;0,45;56,64;36,81;32,33;4,37;6,43;2,06;0,45;1,61;21,71;-0,51;1,21;19,20;9,08;13,74;0,47;0,53;0,28;7,71;15,94;39.417.915,41;38,99;7,48;0,10;11.246.391.472,40;SAPR11;Sanepar;36,52;-0,65%;SAPR11;;https://s3-symbol-logo.tradingview.com/sanepar--big.svg;False
SAPR3;8,14;5,02;5,44;1,04;0,49;56,64;36,81;32,33;4,78;6,43;2,06;0,45;1,76;23,75;-0,56;1,21;19,20;9,08;13,74;0,47;0,53;0,28;7,71;15,94;1.540.570,27;7,80;1,50;0,11;11.246.391.472,40;SAPR3;Sanepar;7,84;-0,13%;SAPR3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/sanepar--big.svg;False
SAPR4;7,23;6,22;4,83;0,93;0,44;56,64;36,81;32,33;4,24;6,43;2,06;0,45;1,56;21,09;-0,50;1,21;19,20;9,08;13,74;0,47;0,53;0,28;7,71;15,94;5.894.178,77;7,80;1,50;0,10;11.246.391.472,40;SAPR4;Sanepar;7,14;-0,56%;SAPR4;Serviços Públicos;https://s3-symbol-logo.tradingview.com/sanepar--big.svg;False
SBFG3;13,27;4,13;8,47;1,12;0,38;49,14;7,94;5,24;5,59;9,34;3,75;0,75;0,44;3,24;-0,76;1,31;13,16;4,54;10,07;0,35;0,65;0,87;22,95;4,32;19.737.574,09;11,90;1,57;-0,47;3.245.249.229,10;SBFG3;Grupo SBF;12,94;-3,00%;SBFG3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/grupo-sbf-on-nm--big.svg;False
SBSP3;132,10;2,82;8,09;2,23;1,02;53,06;44,30;27,76;5,07;6,38;1,31;0,58;2,24;32,57;-1,20;1,26;27,61;12,58;10,96;0,46;0,54;0,45;14,98;27,09;348.919.411,50;59,17;16,33;0,05;90.291.653.694,90;SBSP3;Sabesp;127,18;+0,54%;SBSP3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/sabesp--big.svg;False
SCAR3;21,00;8,31;-24,56;0,79;0,42;42,35;20,73;-12,25;14,51;23,37;8,86;0,48;3,01;2,15;-0,57;3,68;-3,23;-1,71;2,21;0,53;0,47;0,14;6,45;;533.189,00;26,48;-0,86;0,20;1.212.483.699,00;SCAR3;São Carlos;20,95;+3,20%;SCAR3;Financeiro;https://s3-symbol-logo.tradingview.com/sao-carlos-on-nm--big.svg;True
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00;;;;;;;;False
SEER3;11,05;1,39;15,39;1,08;0,42;58,26;15,37;4,34;4,35;6,12;1,77;0,44;0,67;5,76;-0,59;1,35;7,03;2,74;14,67;0,39;0,61;0,63;9,20;-7,48;6.502.828,77;10,21;0,72;0,00;1.422.373.238,00;SEER3;Ser Educacional;10,87;+0,65%;SEER3;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/ser-educa--big.svg;False
SEQL3;1,33;;-0,07;-0,08;0,06;-3,27;-140,15;-142,29;-0,07;-0,98;-0,91;;0,09;-0,12;-0,07;0,24;-118,36;-88,81;-1.325,94;-0,75;1,75;0,62;7,84;;2.155.429,41;-17,18;-20,34;0,00;71.555.340,64;SEQL3;Sequoia Logística;1,41;-5,37%;SEQL3;Transportes;https://s3-symbol-logo.tradingview.com/sequoia-log-on-nm--big.svg;False
SGPS3;1,64;;-0,02;-0,02;0,01;-2,19;-81,65;-176,79;-0,04;-2,32;-2,29;;0,03;-0,01;-0,01;0,22;-127,05;-40,96;-137,25;-0,32;1,32;0,23;-12,92;;0,00;-76,40;-97,07;0,00;16.400.000,00;;;;;SGPS3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/country/BR--big.svg;False
